dataset,model,mcc,acc,precision,sensitivity
AOPP,biobert,0.8083256750000001,0.9019801980000001,0.9484593417999999,0.8501650164000001
AOPP,esm2,0.753388190436971,0.874587458745875,0.918819188191882,0.821782178217822
AOPP,protbert,0.758508781,0.8768976900000001,0.9232337646,0.822442244
AOPP,xLSTM,0.7636626501609005,0.8803630363036306,0.9168345323741005,0.8366336633663365
AnOxPP,biobert,0.9093627442000001,0.954245283,0.9735796247999999,0.9339622642000001
AnOxPP,esm2,0.869823242622679,0.933962264150943,0.964646464646465,0.900943396226415
AnOxPP,protbert,0.8592352226,0.9292452832,0.9441303637999999,0.9132075472000001
AnOxPP,xLSTM,0.8753965866311858,0.9375,0.9482554598875917,0.9257075471698113
AnOxPePred,biobert,0.516947331,0.7455516015,0.74167329525,0.79444444475
AnOxPePred,esm2,0.5710350482,0.7857651244,0.7855442894,0.7629629632
AnOxPePred,protbert,0.449286108,0.7197508895,0.76826593375,0.6
AnOxPePred,xLSTM,0.575544196368532,0.787900355871886,0.7956662789697626,0.7525925925925926
